Date,Open,High,Low,Close,Adj Close,Volume
2020-04-22,43.000000,43.119999,41.849998,42.240002,37.754700,21888100
2020-04-23,42.650002,43.740002,42.259998,42.459999,37.951332,23970700
2020-04-24,43.000000,43.340000,41.730000,43.099998,38.523376,26282100
2020-04-27,44.169998,46.820000,43.730000,46.560001,41.615971,30929200
2020-04-28,48.939999,49.590000,46.930000,47.209999,42.196949,28973300
2020-04-29,49.700001,50.650002,48.459999,50.259998,44.923080,32941100
2020-04-30,49.070000,49.770000,48.040001,48.560001,43.403599,28687000
2020-05-01,46.310001,46.470001,45.220001,45.520000,41.118252,28078900
2020-05-04,45.029999,45.360001,43.980000,45.119999,40.756924,26340200
2020-05-05,46.299999,46.349998,43.919998,43.950001,39.700066,27342900
2020-05-06,44.490002,45.020000,42.720001,42.950001,38.796764,25028000
2020-05-07,43.520000,45.160000,43.439999,44.639999,40.323338,29849100
2020-05-08,45.320000,46.419998,45.259998,46.320000,41.840889,22905200
2020-05-11,45.209999,45.250000,43.810001,44.070000,39.808464,34765200
2020-05-12,44.389999,44.689999,42.320000,42.349998,38.254787,33328300
2020-05-13,42.000000,42.200001,40.230000,40.599998,36.674000,35350600
2020-05-14,39.990002,42.099998,38.759998,42.060001,37.992821,40976400
2020-05-15,41.580002,42.450001,41.099998,41.919998,37.866364,28494900
2020-05-18,44.049999,45.910000,43.490002,45.669998,41.253742,39383300
2020-05-19,45.270000,45.790001,44.209999,44.430000,40.133652,27271600
2020-05-20,45.570000,46.279999,45.220001,45.470001,41.073086,23841300
2020-05-21,45.169998,45.790001,44.779999,45.000000,40.648529,21698300
2020-05-22,44.770000,45.049999,43.689999,44.099998,39.835560,22631700
2020-05-26,46.200001,48.900002,45.980000,48.169998,43.511990,34429300
2020-05-27,51.680000,52.389999,49.860001,52.259998,47.206490,43660500
2020-05-28,52.990002,53.009998,49.110001,49.160000,44.406265,37972800
2020-05-29,48.020000,49.480000,47.560001,47.910000,43.277142,35873400
2020-06-01,48.139999,49.680000,47.820000,49.450001,44.668224,22860100
2020-06-02,50.709999,51.290001,50.160000,50.840000,45.923805,27651300
2020-06-03,52.560001,53.759998,52.419998,53.340000,48.182053,33341800
2020-06-04,53.299999,55.689999,52.610001,55.650002,50.268688,33083500
2020-06-05,61.570000,62.470001,58.340000,58.860001,53.168282,44648500
2020-06-08,60.660000,61.330002,59.770000,61.240002,55.318134,32587100
2020-06-09,59.000000,60.200001,57.650002,59.500000,53.746395,30422900
2020-06-10,58.900002,59.139999,55.860001,55.860001,50.458378,36743700
2020-06-11,51.669998,53.520000,48.200001,48.389999,43.710728,62098600
2020-06-12,51.400002,52.450001,49.799999,52.250000,47.197460,39040000
2020-06-15,49.959999,53.000000,49.740002,52.980000,47.856876,36592100
2020-06-16,56.299999,56.400002,52.320000,54.450001,49.184723,37638700
2020-06-17,54.700001,54.799999,52.880001,53.000000,47.874939,23727300
2020-06-18,52.669998,53.650002,52.029999,53.040001,47.911068,22280600
2020-06-19,54.060001,54.090000,51.560001,52.919998,47.802673,50379300
2020-06-22,51.849998,52.570000,51.520000,52.060001,47.025837,22642100
2020-06-23,52.950001,53.730000,52.500000,52.950001,47.829773,22092600
2020-06-24,51.669998,51.840000,50.160000,50.810001,45.896713,27207700
2020-06-25,50.299999,52.790001,50.130001,52.680000,47.585880,28112400
2020-06-26,52.340000,52.340000,49.470001,49.580002,44.785648,35426200
2020-06-29,50.279999,50.919998,49.610001,50.290001,45.426991,22578600
2020-06-30,49.810001,51.549999,49.650002,51.099998,46.158661,23360400
2020-07-01,51.759998,52.000000,50.150002,50.349998,45.481190,19206900
2020-07-02,52.119999,52.459999,50.279999,50.549999,45.661858,22042700
2020-07-06,51.869999,52.560001,51.189999,51.970001,46.944538,22613100
2020-07-07,51.250000,51.360001,50.090000,50.320000,45.454090,21235300
2020-07-08,50.200001,51.070000,49.939999,50.880001,45.959934,19115300
2020-07-09,50.730000,51.080002,49.029999,49.450001,44.668224,24263900
2020-07-10,49.450001,52.689999,49.450001,52.650002,47.558781,28027800
2020-07-13,53.330002,53.599998,51.860001,52.200001,47.152298,27151800
2020-07-14,51.290001,52.080002,50.009998,50.150002,45.300533,35814400
2020-07-15,51.900002,52.110001,50.680000,51.840000,46.827110,27676300
2020-07-16,51.279999,52.459999,50.939999,51.459999,46.483856,18824000
2020-07-17,51.220001,51.480000,50.200001,50.220001,45.363754,19747400
2020-07-20,49.990002,50.580002,49.750000,50.139999,45.291496,23472600
2020-07-21,50.900002,51.820000,50.669998,51.730000,46.727745,21943200
2020-07-22,51.540001,52.279999,51.150002,51.660000,46.664513,17873400
2020-07-23,51.450001,52.230000,51.130001,52.080002,47.043907,17090400
2020-07-24,52.099998,52.480000,51.500000,51.669998,46.673546,16258900
2020-07-27,51.459999,51.459999,50.610001,51.290001,46.330296,13991400
