X,y
26.24,1110.3264
3.88,-206.0884
4.72,101.73759999999999
-0.73,-33.15565
18.65,436.89874999999984
-13.02,122.5706
27.45,1140.8487499999999
2.39,78.80315
13.19,364.28914999999995
7.51,263.36514999999997
24.62,1061.1766
-10.6,-2.719999999999999
6.78,-47.23739999999998
6.16,192.5484
21.34,915.4534
-1.0,-24.77
8.28,188.69759999999997
1.22,-142.9874
10.42,5.944600000000008
15.83,314.88835000000006
-1.01,-36.724849999999996
21.45,714.08875
19.02,587.2005999999999
15.02,342.8705999999999
19.01,677.5351500000002
3.16,169.7884
8.77,150.68435
0.64,206.8544
7.32,43.55360000000002
15.3,353.17500000000007
3.08,64.7796
6.03,41.16635
3.13,144.36034999999998
1.55,-54.08125
3.29,161.02115
9.87,201.09034999999994
-1.17,255.50835
12.34,226.19339999999997
26.6,1135.17
17.42,531.7246000000002
8.08,-90.8904
1.12,67.0316
2.53,67.53635
26.92,1193.1796000000002
10.51,49.03514999999999
3.63,-121.18965
11.91,314.11715000000004
31.0,1668.52
11.2,387.80999999999995
16.17,360.2583500000001
13.0,196.92000000000002
6.48,59.475600000000014
-1.43,-198.50764999999998
6.51,28.465149999999994
7.91,207.71715
15.87,597.79035
18.39,600.57315
19.31,791.9591499999999
12.86,335.1694
18.85,619.0987500000001
2.46,1.5473999999999961
22.53,859.9463500000002
15.13,371.84035
7.02,85.4006
14.89,319.49315000000007
9.24,187.3064
21.32,758.8736
25.2,893.8
31.86,1611.0294
-3.96,-74.9076
-4.44,-189.78959999999998
4.96,103.6524
11.6,399.31
18.76,831.5364000000001
13.16,463.0784
-10.22,34.82260000000001
6.94,215.05540000000002
18.28,678.2076000000001
12.3,72.20500000000001
17.62,614.4966
7.78,181.7426
7.99,141.00515000000001
11.87,282.75034999999997
14.1,354.39500000000004
11.98,421.40060000000005
11.19,187.80914999999996
3.29,8.76115
13.78,334.8026
11.22,256.67260000000005
21.29,579.09115
21.99,942.1051499999999
11.85,275.72874999999993
6.25,138.37875
3.61,52.91315
14.23,335.9043500000001
10.77,177.16434999999998
6.56,98.12039999999999
10.44,216.24039999999997
3.8,151.49
16.98,527.5206
5.53,52.87635000000001
22.25,1020.12875
14.03,217.42635
15.94,303.8954
-0.95,34.48875
11.69,225.65914999999995
17.41,339.13715
0.46,-28.2926
7.34,36.433400000000006
10.33,310.32835
-3.73,-53.315650000000005
13.15,411.46875
18.46,622.7474000000001
1.4,-11.79
13.51,324.18515
-3.12,47.5516
9.61,-57.63685000000004
-6.16,69.0684
21.21,712.1211500000002
14.09,527.89715
9.75,108.58875
2.25,130.72875
22.74,604.7614
29.67,1506.7683500000003
-8.58,109.0046
22.36,804.5143999999999
26.28,1116.8476000000003
13.38,290.3066
-1.99,42.27515
18.63,573.40035
8.19,-48.49085000000002
3.96,19.8024
-2.3,224.355
15.51,420.80514999999997
17.93,575.06235
3.76,-8.443600000000004
15.21,418.6611500000001
-1.44,16.8604
18.02,525.0305999999999
10.47,288.40635000000003
8.13,36.290350000000046
8.98,140.37060000000002
18.69,640.8991500000001
17.5,494.925
15.29,282.80114999999995
11.38,290.9166
10.78,114.82259999999997
16.18,405.58859999999993
12.32,188.98359999999997
16.83,473.7083499999999
6.9,53.625000000000014
-14.35,212.19874999999993
20.39,764.09315
31.87,1812.3503500000002
14.41,327.15715
9.0,206.27
8.64,107.67440000000002
8.81,158.14915000000002
10.17,304.51835
-1.22,3.9926000000000004
4.83,-28.651649999999997
0.03,-71.88364999999999
12.49,217.04514999999998
7.03,98.40635
14.95,474.37874999999997
8.25,-3.9112499999999955
19.86,558.4094
12.14,172.10940000000005
31.91,1465.11715
-8.96,222.6524
3.53,28.406349999999996
19.01,799.6851500000001
35.28,1849.0676
7.51,241.30514999999997
10.44,130.87039999999996
7.74,77.2114
23.31,798.71915
7.13,7.220349999999996
16.8,350.79
6.8,115.78999999999998
-2.73,-128.79565
13.14,281.79940000000005
15.03,391.53634999999997
22.93,936.5923499999999
8.9,161.00500000000002
3.83,68.53835000000001
15.63,473.59035
12.41,273.71715
12.81,328.30915
9.27,64.37434999999996
21.6,698.8900000000002
13.69,519.7891500000001
29.05,1367.3587499999999
21.11,672.28315
16.59,609.89715
-6.27,22.34434999999999
16.02,377.38059999999996
14.2,208.25999999999996
18.11,634.29315
20.44,590.6004
5.99,21.885150000000017
18.24,628.2964
4.38,63.4666
29.55,1405.58875
-3.32,-15.486399999999998
-7.61,175.82315
-6.51,264.81515
1.09,-48.28285
-1.19,55.84915
29.56,1608.0304
6.74,200.6414
-3.43,-62.037650000000006
21.14,702.2694
4.13,-18.75965
-2.37,-90.20965000000001
18.76,532.1764000000001
16.23,479.11435000000006
5.65,9.958750000000009
24.08,1042.6695999999997
11.29,244.04115
26.17,1080.1883500000001
15.03,481.06635
25.59,1104.7371500000002
11.09,250.78715
-2.2,104.56
34.49,1963.38515
4.54,36.9174
8.01,219.03515
3.0,55.93
7.97,415.90635000000003
12.43,386.13235
12.02,375.1106
16.61,602.0731499999999
27.92,1275.9896
8.8,279.25
-2.33,3.3283500000000004
-1.82,-83.5214
3.34,-26.976599999999998
-6.74,98.3514
18.25,408.35875
5.02,77.21059999999999
6.89,23.48314999999998
9.98,257.1506
-3.97,-63.873650000000005
1.39,195.99314999999999
16.75,557.24875
16.19,323.9491500000001
5.57,242.91235
28.11,1261.91315
-3.06,-68.41460000000001
6.55,-14.101250000000007
7.69,173.39915000000002
-17.93,570.92235
29.38,1340.7666
13.66,228.9434
-0.45,-114.24125
30.51,1653.7151500000004
15.86,600.8894
14.3,322.935
3.93,91.69235
11.06,222.90540000000004
-5.26,18.031399999999998
17.95,643.52875
6.26,125.79139999999998
11.34,266.5334
22.02,776.1306
12.85,375.21875
12.62,255.86659999999995
12.76,294.8764
2.67,42.98835
18.36,450.7743999999999
25.43,1030.1223499999999
17.59,495.41715
18.85,610.0787500000001
1.23,-103.60565000000001
1.32,-110.4264
-4.41,177.08715
22.32,942.0336
7.46,199.4874
24.0,1131.48
2.18,57.7186
5.62,58.93660000000001
10.95,267.39874999999995
19.21,433.84115
10.61,97.18314999999998
12.11,339.22315
10.17,194.99835
11.77,122.23434999999996
-1.16,64.80839999999999
10.81,314.00915000000003
8.13,195.39035000000007
9.43,164.36235
14.92,303.52959999999996
3.19,38.18915
9.15,201.29875
7.03,63.87635
14.17,412.07834999999994
17.85,572.8487500000001
0.45,36.18875
15.86,230.56939999999997
30.66,1626.4733999999999
-4.71,190.23115
1.7,-28.965
1.19,-140.40085
7.21,168.10115
26.23,1078.2543500000002
10.13,93.68035000000005
3.05,147.39875
16.22,314.0626
4.0,110.74
21.23,626.6043500000001
13.05,448.35875
23.89,992.37315
3.39,4.363150000000001
40.31,2594.3691500000004
18.25,622.67875
16.55,552.7687500000001
9.49,252.08515
2.74,76.5214
1.32,-39.5064
8.64,209.6244
2.03,-116.84365
12.83,393.22835
1.74,98.9314
16.21,591.29115
19.56,584.4703999999999
2.94,42.8754
21.93,884.97235
7.62,146.5566
21.55,730.35875
14.38,392.23660000000007
21.22,757.5025999999999
0.03,100.67635
8.93,89.02234999999999
24.51,1021.8451500000002
3.82,65.5486
-10.37,201.74034999999998
-9.43,94.09235
-15.06,301.2254000000001
-11.14,141.0694
5.88,76.85159999999999
22.79,860.68115
5.58,34.5646
13.24,593.0164000000001
8.9,66.57500000000003
10.09,71.68715
8.32,54.39360000000002
8.26,61.241399999999985
14.61,373.45314999999994
-1.76,142.5764
20.1,846.2050000000002
19.2,644.8900000000001
8.05,-123.44124999999997
18.05,591.3187500000001
2.99,-106.19484999999999
4.63,-0.7096500000000034
11.56,126.94040000000001
8.1,170.325
5.51,3.165149999999997
3.28,105.82759999999999
4.43,93.67235
19.39,608.8131500000001
-9.43,109.44235
13.52,414.24559999999997
7.64,78.08439999999999
17.28,600.9376
15.15,396.37874999999997
-17.83,442.39835
15.85,513.22875
13.24,443.43640000000005
10.22,245.5226
5.31,67.71914999999998
18.53,652.9663499999999
5.87,-81.30964999999998
28.35,1469.7087500000002
15.64,290.10440000000006
31.38,1678.2565999999997
2.14,-41.0606
-7.56,111.00040000000001
17.15,490.54874999999987
18.53,611.25635
10.35,117.82874999999997
-5.39,-190.34685000000002
5.52,106.6956
16.18,390.26859999999994
8.16,64.5784
8.84,76.6284
8.25,330.40875
0.66,-54.2566
4.67,82.73835
-4.27,-102.63565000000001
27.68,1399.4636
5.25,5.088749999999997
14.78,120.3426
-0.22,271.4926
17.95,437.31874999999997
-8.73,215.65435
19.21,695.08115
9.65,239.67875
31.11,1538.4831499999998
-3.07,23.312350000000002
10.76,334.71639999999996
13.67,299.0583500000001
22.33,852.2283499999999
5.77,163.96434999999997
10.86,224.25939999999997
-11.42,114.15460000000002
1.7,156.45499999999998
14.52,402.2356
21.04,726.1424
7.18,25.868599999999986
30.56,1408.2704
27.6,1329.62
9.39,261.0531500000001
-14.14,34.3494
-7.78,3.012600000000006
2.22,112.65259999999999
21.16,989.1084000000001
13.1,519.305
-10.94,236.4254
7.71,254.48115
26.13,1063.88035
6.25,158.91875
2.5,-104.595
30.55,1451.68875
10.53,236.27634999999995
5.21,276.74115
13.5,396.425
10.17,219.11835
5.71,52.881150000000005
22.08,677.3295999999998
21.16,806.9684
18.41,538.9171500000001
8.97,176.98635000000002
21.47,678.6563499999997
9.5,181.755
14.67,221.45835000000005
20.34,743.1534
18.09,687.15715
27.9,1357.6650000000002
14.51,578.97515
-6.84,79.69839999999999
-1.6,49.78
23.5,963.115
6.69,3.5791500000000127
13.87,553.43035
1.49,108.40514999999999
20.01,647.3551500000001
6.15,-11.021249999999995
24.58,1051.4446
4.68,135.9836
21.18,761.8086
16.74,498.5413999999999
2.78,3.5125999999999955
20.99,735.06515
0.98,139.3806
1.78,152.0426
17.22,356.0426
3.75,49.10875
4.06,-80.47460000000001
6.56,-45.0596
-0.0,59.6
20.45,615.7187500000001
16.09,130.30715000000004
9.31,228.11915
8.92,279.7796
14.5,571.005
27.65,1204.9287499999998
18.71,736.1211500000001
4.92,-207.57040000000003
17.77,432.51435000000004
8.81,200.15915
8.01,172.42515
28.66,1465.4434
5.81,167.63914999999997
5.21,51.79115
-9.52,256.5456
-4.02,79.8206
14.51,539.30515
3.05,-54.80125000000001
15.15,428.33875
-1.15,-44.00125
2.33,97.88835
16.75,458.50875
24.61,970.42315
15.92,304.2396
21.98,833.4306
27.05,1304.77875
20.4,797.46
0.82,-296.7214
8.95,-9.481250000000017
16.3,657.095
5.85,54.048749999999984
14.52,353.1756
-5.79,147.55115
1.71,31.03115
15.29,341.93114999999995
-12.37,166.25035000000003
-1.08,188.68959999999998
9.82,41.878600000000006
-7.19,183.49915000000001
10.57,174.34235
2.0,-13.120000000000001
7.08,287.2596
7.41,45.00715000000001
11.89,338.18315
4.36,8.464399999999998
10.9,74.155
3.99,22.245150000000002
15.56,535.5204
26.94,1165.3454000000002
11.97,312.75635
11.7,266.145
-1.64,3.9744
16.93,448.4423499999999
2.42,31.434599999999996
1.91,-190.13285
15.57,374.30235000000005
11.81,71.15915000000004
21.07,767.6323500000001
24.43,1017.2123499999999
4.6,-30.77000000000001
11.28,311.46759999999995
27.6,1279.82
19.67,679.5683500000001
17.13,464.97035
23.06,926.6354
3.95,143.64875
16.37,394.22035000000005
24.09,874.1271499999998
26.21,1242.08115
1.94,-218.40460000000002
7.48,-150.6244
13.83,154.83835000000002
7.11,119.88315000000001
6.08,92.9696
16.84,534.9684
6.47,94.03634999999998
-7.88,220.3016
13.62,484.50659999999993
5.76,186.8264
2.68,-94.4264
-5.66,65.6034
20.14,593.2994000000001
-12.27,133.81435
-6.99,-52.514849999999996
7.24,106.0364
22.29,878.6911499999999
23.1,890.135
-1.55,-120.16125
8.22,-21.47739999999996
-5.1,-54.04499999999999
20.11,600.2431499999999
-4.77,96.86435
8.57,109.23235
20.33,673.2483499999998
7.78,103.33260000000001
24.7,1112.2649999999999
1.3,171.69500000000002
13.69,372.74915
18.53,556.0663499999999
8.6,282.28999999999996
23.86,982.2794
15.48,372.5156
-6.37,140.63035000000002
49.59,3884.03715
16.49,323.1951499999999
11.07,286.25235000000004
-3.99,40.89515
10.82,28.818600000000004
5.4,-151.45999999999998
16.44,477.5804000000001
13.72,399.71760000000006
28.53,1382.65635
11.42,100.49460000000002
15.14,363.11940000000004
13.72,398.0376
8.52,-13.874400000000037
8.17,138.24835
21.01,757.9951500000001
17.8,630.94
3.71,-210.75885
-1.13,13.46035
9.33,366.03835000000004
21.61,715.00315
9.72,145.1176
27.46,1323.5874000000001
2.25,-59.84125
11.42,352.2946
-15.16,346.7284
4.04,-117.7876
6.91,106.86715000000001
15.11,250.45314999999997
27.11,1293.56315
10.35,29.838749999999976
24.54,809.0274
16.62,359.7766000000001
19.86,581.8294000000001
5.34,193.9534
23.85,935.8787500000001
-0.73,28.344350000000002
14.95,496.06874999999997
0.48,-66.7544
4.82,-5.111399999999989
-4.61,-68.00685
4.84,131.5684
13.51,485.39515000000006
9.31,189.46915
-3.48,-55.34439999999999
24.71,951.3211500000001
13.37,204.70034999999996
20.08,749.1995999999998
17.85,435.11875000000003
3.35,4.098750000000003
-9.45,-15.021250000000038
0.85,-184.89124999999999
22.25,567.46875
-0.54,-89.4526
18.16,581.0483999999999
3.88,5.381599999999999
13.93,318.46234999999996
-8.24,-33.133600000000015
21.67,688.0583500000001
9.6,66.07000000000001
18.86,621.6794
11.9,459.83500000000004
17.98,535.2106
8.98,16.460600000000028
17.43,644.97235
-5.1,-77.695
-0.81,54.89915
17.25,463.44875
9.61,181.27315
7.71,460.42115
8.2,55.809999999999974
15.02,333.3005999999999
4.07,77.61235
15.1,393.675
0.84,-35.611599999999996
5.93,5.662349999999989
19.85,720.55875
20.71,824.5811500000001
-0.97,-96.19364999999999
18.39,459.0131500000001
-0.39,182.85315
17.33,369.62834999999984
-8.99,162.29515
-1.17,42.86835
4.91,-55.95285
8.34,210.47339999999997
24.24,856.8863999999999
19.04,502.46239999999995
25.75,946.75875
22.07,892.3023499999999
7.17,58.278349999999996
7.34,216.0334
20.69,634.5191500000001
10.4,261.11
8.43,277.84235
-3.35,-2.4912499999999973
8.94,39.6254
-17.91,385.20715
5.44,190.1004
0.2,75.67
16.93,451.5923499999999
5.21,-114.48885
6.71,163.57115
23.47,1072.49635
-0.49,164.50515000000001
13.17,350.54835
-8.95,70.72874999999999
10.9,138.755
14.1,291.30500000000006
18.6,420.06000000000006
1.01,219.52515
13.2,305.85999999999996
13.18,546.1386
9.81,172.23915000000002
11.5,77.79499999999999
14.64,559.8944
13.98,257.11060000000003
0.04,-42.6476
-1.96,164.7624
35.06,2113.3954000000003
29.2,1179.54
-3.92,10.439599999999999
14.5,258.175
16.27,508.92435
17.51,703.40515
11.4,184.09
0.73,153.67435
8.18,37.13859999999998
5.09,274.90715
11.34,151.0134
7.32,60.66360000000002
8.68,174.09359999999998
20.19,543.05915
22.31,980.64915
-1.81,-107.42085
5.4,125.04000000000002
2.09,-114.04285
22.24,831.7463999999999
9.41,165.70715
24.49,947.5351499999999
5.22,109.06259999999999
10.26,83.13139999999999
-3.49,159.24515
23.03,897.41635
6.37,-194.97965
